client_id,storage,sku_id,item_description,detailed_description,manufacturer,mfg_part_nos,fitment,bom_structure,bom_qty,bom_grp,bom_id,bom_ref,plan_grp
,,10131,CYLINDER BLOCK;DANFOSS;42?i0095,CYLINDER BLOCK,DANFOSS,42?i0095,TANDEM PUMP,SPECIAL HARDWARE,0,,B24,,
,,10096,"SCR VALVE ASSEMBLY, 345 BAR [5000 PSI];DANFOSS;4350636","SCR VALVE ASSEMBLY, 345 BAR [5000 PSI]",DANFOSS,4350636,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,M20,,
,,10096,"SCR VALVE ASSEMBLY, 345 BAR [5000 PSI];DANFOSS;4350636","SCR VALVE ASSEMBLY, 345 BAR [5000 PSI]",DANFOSS,4350636,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,VI  0,,
,,10096,"SCR VALVE ASSEMBLY, 345 BAR [5000 PSI];DANFOSS;4350636","SCR VALVE ASSEMBLY, 345 BAR [5000 PSI]",DANFOSS,4350636,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,V20,,
,,10096,"SCR VALVE ASSEMBLY, 345 BAR [5000 PSI];DANFOSS;4350636","SCR VALVE ASSEMBLY, 345 BAR [5000 PSI]",DANFOSS,4350636,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,V20,,
,,10099,"SCR VALVE ASSY, 210 BAR [3045 PSI], HIGH FORCE SPRING;DANFOSS;4251266","SCR VALVE ASSY, 210 BAR [3045 PSI], HIGH FORCE SPRING",DANFOSS,4251266,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,M20,,
,,10099,"SCR VALVE ASSY, 210 BAR [3045 PSI], HIGH FORCE SPRING;DANFOSS;4251266","SCR VALVE ASSY, 210 BAR [3045 PSI], HIGH FORCE SPRING",DANFOSS,4251266,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,V20,,
,,10100,O-RING;DANFOSS;001 131,O-RING,DANFOSS,001 131,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION 0-RINGS,2,,M022,,
,,10100,O-RING;DANFOSS;001 131,O-RING,DANFOSS,9004201 -5000,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION 0-RINGS,2,,M022,,
,,10101,O-RING;DANFOSS;504080,O-RING,DANFOSS,504080,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION 0-RINGS,2,,M023,,
,,10101,O-RING;DANFOSS;504080,O-RING,DANFOSS,90041 00-21 10,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION 0-RINGS,2,,M023,,
,,10102,"SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING;DANFOSS;4250139","SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING",DANFOSS,4250139,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M10,,
,,10102,"SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING;DANFOSS;4250139","SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING",DANFOSS,4250139,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M20,,
,,10102,"SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING;DANFOSS;4250139","SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING",DANFOSS,4250139,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,V1 0,,
,,10102,"SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING;DANFOSS;4250139","SCR VALVE ASSY, 250 BAR [3625 PSI], HIGH FORCE SPRING",DANFOSS,4250139,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,V20,,
,,10103,PLUG ASSEMBLY;DANFOSS;9005110-7500,PLUG ASSEMBLY,DANFOSS,9005110-7500,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M10,,
,,10103,PLUG ASSEMBLY;DANFOSS;9005110-7500,PLUG ASSEMBLY,DANFOSS,9005110-7500,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,1,,V20,,
,,10136,WASHER;DANFOSS;5000455,WASHER,DANFOSS,5000455,TANDEM PUMP,SPECIAL HARDWARE,0,,B27,,
,,10104,0-RING;DANFOSS;001131,0-RING,DANFOSS,001131,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M10A,,
,,10104,0-RING;DANFOSS;001131,0-RING,DANFOSS,9004201-5000,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M10A,,
,,10105,LIP SEAL  (SB-2000-026);DANFOSS;5000604,LIP SEAL  (SB-2000-026),DANFOSS,5000604,TANDEM PUMP,CONTROL,0,,N02,,
,,10139,SLIPPER RETAINER GUIDE;DANFOSS;42Ti0140,SLIPPER RETAINER GUIDE,DANFOSS,42Ti0140,TANDEM PUMP,SPECIAL HARDWARE,2,,B31,,
,,10140,PISTON ASSEMBLY;DANFOSS;42°i0127,PISTON ASSEMBLY,DANFOSS,42°i0127,TANDEM PUMP,SPECIAL HARDWARE,18,,B32,,
,,10141,SLIPPER RETAINER;DANFOSS;4250117,SLIPPER RETAINER,DANFOSS,4250117,TANDEM PUMP,SPECIAL HARDWARE,0,,B36,,
,,10105,LIP SEAL  (SB-2000-026);DANFOSS;5000604,LIP SEAL  (SB-2000-026),DANFOSS,5000604,TANDEM PUMP,CONTROL,0,,N02,,
,,10105,LIP SEAL  (SB-2000-026);DANFOSS;5000604,LIP SEAL  (SB-2000-026),DANFOSS,5000604,TANDEM PUMP,CONTROL,0,,N02,,
,,10105,LIP SEAL  (SB-2000-026);DANFOSS;5000604,LIP SEAL  (SB-2000-026),DANFOSS,5000604,TANDEM PUMP,CONTROL,0,,N02,,
